id,fila,columna,tipo,sala_id:id
cine_gestion.asiento_sala_1_44,4,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_45,4,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_46,4,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_47,4,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_48,4,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_49,5,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_50,5,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_51,5,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_52,5,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_53,5,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_54,5,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_55,5,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_56,5,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_57,5,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_58,5,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_59,5,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_60,5,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_61,6,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_62,6,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_63,6,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_64,6,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_65,6,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_66,6,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_67,6,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_68,6,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_69,6,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_70,6,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_71,6,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_72,6,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_73,7,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_74,7,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_75,7,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_76,7,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_77,7,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_78,7,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_79,7,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_80,7,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_81,7,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_82,7,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_83,7,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_84,7,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_85,8,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_86,8,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_87,8,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_88,8,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_89,8,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_90,8,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_91,8,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_92,8,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_93,8,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_94,8,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_95,8,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_96,8,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_97,9,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_98,9,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_99,9,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_100,9,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_101,9,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_102,9,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_103,9,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_104,9,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_105,9,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_106,9,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_107,9,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_108,9,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_109,10,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_110,10,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_111,10,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_112,10,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_113,10,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_114,10,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_115,10,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_116,10,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_117,10,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_118,10,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_119,10,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_120,10,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_121,11,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_122,11,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_123,11,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_124,11,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_125,11,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_126,11,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_127,11,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_128,11,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_129,11,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_130,11,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_131,11,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_132,11,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_133,12,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_134,12,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_135,12,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_136,12,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_137,12,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_138,12,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_139,12,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_140,12,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_141,12,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_142,12,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_143,12,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_144,12,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_2_1,1,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_2,1,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_3,1,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_4,1,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_5,1,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_6,1,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_7,1,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_8,1,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_9,1,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_10,1,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_11,1,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_12,1,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_13,2,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_14,2,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_15,2,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_16,2,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_17,2,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_18,2,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_19,2,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_20,2,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_21,2,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_22,2,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_23,2,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_24,2,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_25,3,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_26,3,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_27,3,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_28,3,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_29,3,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_30,3,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_31,3,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_32,3,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_33,3,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_34,3,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_35,3,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_36,3,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_37,4,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_38,4,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_39,4,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_40,4,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_41,4,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_42,4,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_43,4,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_44,4,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_45,4,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_46,4,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_47,4,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_48,4,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_49,5,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_50,5,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_51,5,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_52,5,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_53,5,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_54,5,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_55,5,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_56,5,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_57,5,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_58,5,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_59,5,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_60,5,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_61,6,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_62,6,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_63,6,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_64,6,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_65,6,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_66,6,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_67,6,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_68,6,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_69,6,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_70,6,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_71,6,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_72,6,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_73,7,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_74,7,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_75,7,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_76,7,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_77,7,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_78,7,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_79,7,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_80,7,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_81,7,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_82,7,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_83,7,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_84,7,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_85,8,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_86,8,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_87,8,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_88,8,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_89,8,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_90,8,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_91,8,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_92,8,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_93,8,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_94,8,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_95,8,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_96,8,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_97,9,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_98,9,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_99,9,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_100,9,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_101,9,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_102,9,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_103,9,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_104,9,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_105,9,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_106,9,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_107,9,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_108,9,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_109,10,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_110,10,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_111,10,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_112,10,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_113,10,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_114,10,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_115,10,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_116,10,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_117,10,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_118,10,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_119,10,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_120,10,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_121,11,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_122,11,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_123,11,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_124,11,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_125,11,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_126,11,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_127,11,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_128,11,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_129,11,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_130,11,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_131,11,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_132,11,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_133,12,1,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_134,12,2,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_135,12,3,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_136,12,4,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_137,12,5,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_138,12,6,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_139,12,7,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_140,12,8,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_141,12,9,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_142,12,10,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_143,12,11,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_2_144,12,12,NORM,cine_gestion.sala_2
cine_gestion.asiento_sala_3_1,1,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_2,1,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_3,1,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_4,1,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_5,1,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_6,1,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_7,1,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_8,1,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_9,1,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_10,1,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_11,1,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_12,1,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_13,2,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_14,2,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_15,2,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_16,2,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_17,2,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_18,2,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_19,2,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_20,2,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_21,2,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_22,2,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_23,2,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_24,2,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_25,3,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_26,3,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_27,3,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_28,3,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_29,3,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_30,3,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_31,3,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_32,3,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_33,3,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_34,3,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_35,3,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_36,3,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_37,4,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_38,4,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_39,4,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_40,4,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_41,4,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_42,4,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_43,4,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_44,4,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_45,4,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_46,4,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_47,4,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_48,4,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_49,5,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_50,5,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_51,5,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_52,5,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_53,5,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_54,5,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_55,5,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_56,5,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_57,5,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_58,5,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_59,5,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_60,5,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_61,6,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_62,6,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_63,6,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_64,6,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_65,6,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_66,6,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_67,6,7,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_68,6,8,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_69,6,9,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_70,6,10,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_71,6,11,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_72,6,12,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_73,7,1,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_74,7,2,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_75,7,3,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_76,7,4,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_77,7,5,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_78,7,6,NORM,cine_gestion.sala_3
cine_gestion.asiento_sala_3_79,7,7,NORM,cine_gestion.sala_3
